Date,Region,Cluster,Sub_Cluster,Customer_Group,Brand,SKU_ID,SKU_Name,Forecast_Lag0_Units,Shipped_Units
2025-09-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,13007,11834
2025-10-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,12393,11388
2025-11-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,14453,13350
2025-12-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,14127,12776
2026-01-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,14128,11882
2026-02-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,15608,12285
2026-03-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,20724,16727
2026-04-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,20707,16526
2026-05-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,17120,13226
2026-06-01,EMEA,EMEA Central,DACH,Wholesale / Cash & Carry,Choco Supreme,CHO-0002,Choco Supreme Gift Box 250g,16393,12050
2025-07-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,6094,8736
2025-08-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,7620,8041
2025-09-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,8184,8693
2025-10-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,9122,8679
2025-11-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,7649,8714
2025-12-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,9807,8885
2026-01-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11453,9366
2026-02-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11385,11009
2026-03-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11534,10706
2026-04-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,10738,10614
2026-05-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,9005,9005
2026-06-01,EMEA,EMEA East,Poland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,8048,9567
2025-07-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4047,4001
2025-08-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3993,4267
2025-09-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3113,3186
2025-10-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3873,4100
2025-11-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4126,3992
2025-12-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,5928,4478
2026-01-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,1939,4455
2026-02-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4805,5069
2026-03-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,6221,5988
2026-04-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,5990,5624
2026-05-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,5447,5932
2026-06-01,EMEA,EMEA North,UK & Ireland,Discounter,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3284,5353
2025-07-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3654,2671
2025-08-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3757,2579
2025-09-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3348,2517
2025-10-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,2809,2265
2025-11-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,3190,2246
2025-12-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4048,3073
2026-01-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4328,3216
2026-02-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,5224,3716
2026-03-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4942,3922
2026-04-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4786,3746
2026-05-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4799,3808
2026-06-01,EMEA,EMEA North,Baltics,E-commerce,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,4488,3451
2025-07-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,8942,11974
2025-08-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,8576,12103
2025-09-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11241,14177
2025-10-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,9345,13652
2025-11-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,10183,13012
2025-12-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,10111,13777
2026-01-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,13202,16461
2026-02-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,12136,15539
2026-03-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,14034,16818
2026-04-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,14203,18209
2026-05-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,12461,18743
2026-06-01,EMEA,EMEA South,Iberia,Foodservice,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,12447,16818
2025-07-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11328,9891
2025-08-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,10369,8507
2025-09-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,11488,8989
2025-10-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,10891,9314
2025-11-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,13887,10503
2025-12-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,15325,12097
2026-01-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,14162,10972
2026-02-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,15527,12728
2026-03-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,19311,14980
2026-04-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,16028,12312
2026-05-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,14821,11762
2026-06-01,EMEA,EMEA South,Adria,Travel Retail,Choco Supreme,CHO-0003,Choco Supreme Truffle Collection 150g,15299,12141
2025-07-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,609,776
2025-08-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,657,833
2025-09-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,595,781
2025-10-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,610,779
2025-11-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,732,875
2025-12-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,874,1084
2026-01-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,992,1193
2026-02-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,911,1093
2026-03-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1002,1137
2026-04-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,972,1218
2026-05-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,744,1004
2026-06-01,EMEA,EMEA East,Turkey,Foodservice,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,910,1047
2025-07-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,9647,14261
2025-08-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,8482,11956
2025-09-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,8946,12465
2025-10-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,12062,14546
2025-11-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,10856,13783
2025-12-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,10866,15881
2026-01-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,11980,15979
2026-02-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,12294,17267
2026-03-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,12234,17036
2026-04-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,12366,16674
2026-05-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,11740,15380
2026-06-01,EMEA,EMEA Central,Benelux,Grocery Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,10945,15299
2025-07-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,924,928
2025-08-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,965,934
2025-09-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,805,875
2025-10-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,824,869
2025-11-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,886,942
2025-12-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,897,989
2026-01-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1071,1101
2026-02-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1231,1195
2026-03-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1274,1289
2026-04-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1335,1325
2026-05-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1166,1117
2026-06-01,EMEA,EMEA North,Baltics,Travel Retail,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,1192,1132
2025-07-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,5250,5397
2025-08-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4282,4693
2025-09-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4646,5118
2025-10-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4979,5905
2025-11-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4929,5740
2025-12-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4209,5897
2026-01-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4872,6590
2026-02-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4008,6274
2026-03-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4199,6724
2026-04-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4705,6678
2026-05-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,4077,6257
2026-06-01,EMEA,EMEA North,Nordics,Wholesale / Cash & Carry,Choco Supreme,CHO-0004,Choco Supreme Truffle Collection 200g,3320,6006
2025-07-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,8466,6385
2025-08-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,8624,6489
2025-09-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,7160,5927
2025-10-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,7145,5685
2025-11-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,8232,6818
2025-12-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,9045,7123
2026-01-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,9368,8063
2026-02-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,10583,8758
2026-03-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,8793,8215
2026-04-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,9173,8257
2026-05-01,EMEA,EMEA East,CEE,Convenience,Choco Supreme,CHO-0005,Choco Supreme Pralines Assortment 250g,9719,9057
